'@ @ [1/4] | Clear Quartz Woven Necklace',80000A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,1,$99.99,4,$95.00,,,1,K&K400,K&K160,,,,,,
'[1/4] | Orange Cross body/Clutch Handbag',82807A-OR,JWL020,20171123,In stock & shipping checked (Nov 22nd),$12.49,,,"'7.5""W x 5""L x 2.5""D'",,1,$24.99,4,$23.75,,,1,K&K400,K&K160,,,,,,
'[1/6] | Black Round Cross body Handbag',82808A,JWL020,20171123,In stock & shipping checked (Nov 22nd),$12.49,,,"'6""Dia. x 2""D'",,1,$24.99,6,$23.75,,,1,K&K400,K&K160,,,,,,
'@ @ [1/6] | Black/Tan/Bronze Crossbody Handbag',82809A,JWL020,20171123,In stock & shipping checked (Nov 22nd),,,,"'8""W x 7""L x 3""D'",,1,$29.99,6,$28.50,,,1,K&K400,K&K160,,,,,,
'[1/6] | Blk/Tan Dotted Tote Plus Wrist Bag',82811A-BK,JWL020,20171123,In stock & shipping checked (Nov 22nd),,,,"'TOTE: 12""H x 22""W x 7""D; CLUTCH: 9""H x 8""W'",,1,$44.99,6,$42.75,,,1,K&K400,K&K160,,,,,,
'@ @ [SO][1/6] | Red/Blk Dotted Tote Plus Wrist Bag',82811A-RD,JWL020,20180323,Out of stock - order to ship after 03-23-2018,,,,"'TOTE: 12""H x 22""W x 7""D; CLUTCH: 9""H x 8""W'",,1,$39.99,6,$38.00,,,1,K&K400,K&K160,,,,,,
'[2/12] | Black Chain Rose Gold Pendant Necklace',82812A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'36""L w/3"" extender PENDANT: 1""Dia.'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Brass Domed Medallion Stretch Bracelet',82813A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.25,,,"'2.25""Dia. x 0.75""W'",,2,$8.50,12,$8.10,,,2,K&K400,K&K160,,,,,,
'[2/24] | Antique Bronze and Crystal Accent Stretch Bracelet',82814A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,"'2""Dia. x 1.25""L'",,2,$12.50,24,$11.90,,,2,K&K400,K&K160,,,,,,
'[3/24] | Antique Bronze and Golden Stone Earrings',82816A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.49,,,"'0.75""L x 0.5""W'",,3,$4.99,24,$4.75,,,3,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver Crystal 3 Loop Bracelet w/ Adjustable Toggle Closure',82817A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,"'7.75""L'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[3/24] | Assorted Antique Bronze Crystal Bangles with Clear Amber and Black',82820A-BZ,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.25,,,"'2.5""Dia. x 0.25""W'",,3,$4.50,24,$4.30,,,3,K&K400,K&K160,,,,,,
'@ @ [3/24] | Assorted Antique Silver Crystal Bangles with Clear Amber and Diamon',82820A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2.5""Dia. x 0.25""W'",,3,$4.50,24,$4.30,,,3,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver/Crystal Bracelet w/ Toggle Closure',82821A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,"'7""L x 0.75""W'",,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'@ @ [2/24] | Antique Bronze and Crystal Bangle Bracelet',82822A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'3""Dia. x 0.25""W'",,2,$7.50,24,$7.15,,,2,K&K400,K&K160,,,,,,
'@ @ [4/24] | Assorted Antique Silver Mother Daughter Sister Friend Bangle Bracel',82823A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2.375""Dia.'",,4,$4.99,24,$4.75,,,4,K&K400,K&K160,,,,,,
'[3/24] | Assorted Gold Antique Silver and Bronze Bangle Bracelets with Oval',82824A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.25,,,"'2.4""Dia.'",,3,$4.50,24,$4.30,,,3,K&K400,K&K160,,,,,,
'[3/24] | Assorted Bronze Gold and Silver Bangle Bracelets with Open Side Cro',82825A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.25,,,"'2.625""Dia. x 0.125""W'",,3,$4.50,24,$4.30,,,3,K&K400,K&K160,,,,,,
'[2/24] | Antique Silver Three Hearts Necklace',82827A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.99,,,"'17""L w/3"" extender'",,2,$7.99,24,$7.60,,,2,K&K400,K&K160,,,,,,
'[8/48] | Antique Bronze Christmas Bangle Bracelets with 8 Assorted Removable',82828A-BZ,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.25,,,"'2.5""Dia.'",,8,$4.50,48,$4.30,,,8,K&K400,K&K160,,,,,,
'[8/48] | Antique Silver Christmas Bangle Bracelets with 8 Assorted Removable',82828A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.25,,,"'2.5""Dia.'",,8,$4.50,48,$4.30,,,8,K&K400,K&K160,,,,,,
'@ @ [2/12] | Antique Silver/ Crystal 7 Loop Necklace Set',82829A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'21.5""L w/3"" extender EARRINGS: 3.125""L x 1.5""W'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'@ @ [SO][3/24] | Gold Oval Crystal French Wire Earring',82831A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'1.25""L x 0.75""W'",,3,$3.99,24,$3.80,,,3,K&K400,K&K160,,,,,,
'@ @ [2/12] | Antique Bronze Multi Chain w/ Amber and Black Diamond Crystal Neckl',82832A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'32""L w/3"" extender EARRINGS: 2.25""L x 0.5""W'",,2,$14.99,12,$14.25,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Bronze Double Chain Open Heart Necklace Set',82834A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'38""L w/3"" extender EARRINGS: 1.75""L x 0.75""W'",,2,$17.50,12,$16.65,,,2,K&K400,K&K160,,,,,,
'[2/24] | Antique Bronze Chain Tassel Necklace w/ Crystal Accents',82835A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'31""L w/3"" extender PENDANT: 4.25""L x 0.75""W'",,2,$8.99,24,$8.55,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver and Black Leather Crystal Necklace',82837A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'19""L w/3"" extender'",,2,$12.99,12,$12.35,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Antique Gold Pearl Magnetic Closure Necklace & Earring Set',82838A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'31.5""L x 0.5""W EARRINGS: 2.25""L x 0.625""W'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'@ @ [1/6] | Camel Cowl neck Knit Cape',82839A,JWL010,20171123,In stock & shipping checked (Nov 22nd),,,,"'36""L'",,1,$19.99,6,$19.00,,,1,K&K400,K&K160,,,,,,
'@ @ [2/12] | Black Knit Cape Shrug',82841A,JWL010,20171123,In stock & shipping checked (Nov 22nd),,,,"'19""L'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/12] | Grey Knit Cowl Neck Button Cape',82842A,JWL010,20171123,In stock & shipping checked (Nov 22nd),,,,"'25""L'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/12] | Black Knit Cowl Neck Button Cape',82842A-BK,JWL010,20180315,Out of stock - order to ship after 03-15-2018,,,,"'25"" L'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/12] | Brown Knit Cowl Neck Button Cape',82842A-BR,JWL010,20171123,In stock & shipping checked (Nov 22nd),,,,"'25"" L'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/12] | Cream Knit Cowl Neck Button Cape',82842A-CR,JWL010,20180315,Out of stock - order to ship after 03-15-2018,,,,"'25"" L'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/12] | Rust Knit Cowl Neck Button Cape',82842A-RU,JWL010,20171123,In stock & shipping checked (Nov 22nd),,,,"'25"" L'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/24] | Gold/Crystal Accent Bangle Bracelet w/ Adjustable Extender',82843A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2.25""Dia. w/1"" extender'",,2,$5.99,24,$5.70,,,2,K&K400,K&K160,,,,,,
'[2/24] | Silver/Crystal Accent Bangle Bracelet w/ Adjustable Extender',82843A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.99,,,"'2.25""Dia. w/1"" extender'",,2,$5.99,24,$5.70,,,2,K&K400,K&K160,,,,,,
'[2/24] | Natural Abalone Pendant on Gold Chain Necklace Set',82844A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'16""L w/3"" extender EARRINGS: 1""L x 0.5""W'",,2,$7.99,24,$7.60,,,2,K&K400,K&K160,,,,,,
'@ @ [3/24] | Assorted Set Antique Silver and Turquoise Crystal Stone Accented Ba',82846A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2.5""Dia.'",,3,$2.99,24,$2.85,,,3,K&K400,K&K160,,,,,,
'[2/24] | Silver/Crystal Starburst Medallion on Double Gold Chain Necklace',82850A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'16"" w/3"" extender PENDANT: 1.25""Dia.'",,2,$6.50,24,$6.20,,,2,K&K400,K&K160,,,,,,
'[1/6] | Antique Silver/Gold/Hematite with Opal Crystal Necklace Set',82852A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$11.25,,,"'20.25""L w/3"" extender EARRINGS: 1""L x 0.625""W'",,1,$22.50,6,$21.40,,,1,K&K400,K&K160,,,,,,
'[1/6] | Hematite and Red Stone Pendant and Teardrop Earring Set',82853A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'31""L PENDANT: 2.5""L x 1.25""W EARRINGS: 2""L x 0.75""W'",,1,$22.50,6,$21.40,,,1,K&K400,K&K160,,,,,,
'[3/18] | Brown Serpentine Cross w/Turquoise Accents on Brown Suede Cord',82855A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.49,,,"'15""L + 3"" Extender, Pendant 1 1/2"" L'",,3,$4.99,18,$4.75,,,3,K&K400,K&K160,,,,,,
'[3/18] | Grey Serpentine Cross Pendant on Black Double Cord Necklace',82856A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.49,,,"'15""L + 3"" Extender, Pendant 1 1/2"" L'",,3,$4.99,18,$4.75,,,3,K&K400,K&K160,,,,,,
'[2/12] | Green Quartz/Crystal W/Gold Accents Stretch Bracelet',82857A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,"'2 1/4""Diameter, 3/4"" Focal Bead'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[1/4] | Green with Gold Accents Long Necklace Set',82857B,JWL030,20171123,In stock & shipping checked (Nov 22nd),$11.25,,,"'36"" L, 3/4"" W Focal Bead, Earrings- 1 1/2"" L'",,1,$22.50,4,$21.40,,,1,K&K400,K&K160,,,,,,
'@ @ [2/6] | Triple Strand Black Crystal Stretch Bracelet w/Silver Multi Focal',82858A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2"" Diameter,  3/4"" Focal Bead'",,2,$9.99,6,$9.50,,,2,K&K400,K&K160,,,,,,
'@ @ [2/6] | Triple Strand Black Crystal Necklace w/Silver/Multi Focal Bead',82858B,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'18""L + 3 1/2"" Extender, Pendant-1 "" Drop'",,2,$14.99,6,$14.25,,,2,K&K400,K&K160,,,,,,
'@ @ [SO][2/12] | Antique Gold Pearl Spring Hinged Cuff Bangle Bracelet',82860A-GD,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'2 3/8"" L x 2""Diameter; 3/4"" Drop'",,2,$6.50,12,$6.20,,,2,K&K400,K&K160,,,,,,
'@ @ [SO][2/12] | Antique Silver Pearl Spring Hinged Cuff Bangle Bracelet',82860A-SI,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'2 3/8"" L x 2""Diameter; 3/4"" Drop'",,2,$6.50,12,$6.20,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Bronze Geometric Design Stretch Bracelet',82861A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.99,,,"'2"" Diameter, 1 1/2"" W'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Antique Bronze Double Chain Crystal Pendant',82862A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'15""L + 2 1/2"" Extender,  Pendant 1 1/2"" L'",,2,$7.50,12,$7.15,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Gunmetal Chain with Crystal/Opal Tassel Pendant Necklace',82863A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'31""L + 2 1/2"" Extender, Pendant 4 1/2"" L'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[3/12] | Turquoise Nugget & Crystal/Silver Stretch Ring',82864A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.99,,,"'2""L x 1 1/2""W'",,3,$5.99,12,$5.70,,,3,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver/Crystal Heart Pendant Necklace Set',82865A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'29""L + 2 1/4"" Extender, Pendant 1 1/4""L, Earriings-1/4"" Diam'",,2,$7.99,12,$7.60,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver Triple Chain Feather Necklace w/Turquoise Set',82866A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'28""L + 3 1/2"" Extender,    2 1/2"" Drop, Earrings 1/4"" Diamet'",,2,$8.99,12,$8.55,,,2,K&K400,K&K160,,,,,,
'[2/12] | Gunmetal Double Chain with Crosses Necklace Set',82867A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.49,,,"'41""L + 2 1/2"" Extender, Earrings- 1 1/2"" L x 1/2"" W'",,2,$8.99,12,$8.55,,,2,K&K400,K&K160,,,,,,
'[2/6] | Silver & Mint Green Necklace Set',82869A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,"'16"" L + 3"" Extender, 1 1/2"" Drop, Earrings-1"" L x 1/2""'",,2,$10.99,6,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/6] | Antique Silver 3-Necklace & Cross Earring Set',82870A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.49,,,"'26""L (1"" Pendant) + 2 1/2"" Extender, 20""L    + 16""L,  Earrin'",,2,$12.99,6,$12.35,,,2,K&K400,K&K160,,,,,,
'@ @ [2/6] | Antique Bronze Dusty Pink & Crystal Vintage Necklace Set',82871A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'16""L + 3 1/2"" Extender, 7/8"" Drop, Earrings-7/8""L'",,2,$12.99,6,$12.35,,,2,K&K400,K&K160,,,,,,
'[2/6] | Anqitue Bronze and Orange Crystal Necklace Set',82873A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$7.49,,,"'18 3/4"" L + 3"" Extender,  1"" Drop'",,2,$14.99,6,$14.25,,,2,K&K400,K&K160,,,,,,
'[2/6] | Antique Bronze and Yellow Stone Necklace Set',82874A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$8.75,,,"'16""L + 3 1/4"" Extender,  1 1/8"" Drop, Earrings- 1 1/8""L x 3/'",,2,$17.50,6,$16.65,,,2,K&K400,K&K160,,,,,,
'@ @ [1/4] | Long Red Coral Necklace Set',82875A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'28"" L + 2 1/2"" Extender, 1/2"" W, Earrings-1 1/2"" L x 1/2"" W'",,1,$29.99,4,$28.50,,,1,K&K400,K&K160,,,,,,
'[3/18] | Gold/Crystal Teardrop Open Bangle Cuff Bracelet',82876A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2 1/2"" Diameter,  5/8"" Teardrop'",,3,$4.50,18,$4.30,,,3,K&K400,K&K160,,,,,,
'[3/18] | Silver/Crystal Teardrop Open Bangle Cuff Bracelet',82876A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2 1/2"" Diameter, 5/8"" Teardrop'",,3,$4.50,18,$4.30,,,3,K&K400,K&K160,,,,,,
'[2/12] | Hammered Worn Silver Cancer Ribbon Bracelet w/Hook Closure',82877A-SI,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'2 1/2"" x 1 3/4"" Focal: 1 1/2""L x 3/4""W'",,2,$8.99,12,$8.55,,,2,K&K400,K&K160,,,,,,
'[3/18] | Worn Gold Triple Elongated Oval Drop Earrings',82878A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2 1/2"" L x 7/8"" W'",,3,$4.99,18,$4.75,,,3,K&K400,K&K160,,,,,,
'[SO][3/18] | Worn Silver Triple Elongated Oval Drop Earrings',82878A-SI,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'2 1/2"" L x 7/8"" W'",,3,$4.99,18,$4.75,,,3,K&K400,K&K160,,,,,,
'[3/18] | Worn Silver Elongated Curve Earrings',82879A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2 1/2""L x 3/16""W'",,3,$4.99,18,$4.75,,,3,K&K400,K&K160,,,,,,
'@ @ [2/18] | Antique Silver Buffalo Hook Bangle Bracelet',82880A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2 1/4"" Diameter, 1"" Focal'",,2,$5.50,18,$5.25,,,2,K&K400,K&K160,,,,,,
'@ @ [2/18] | Antique Gold Buffalo Nickle Hook Bangle Bracelet',82880A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2.125""Dia. PENDANT 1""Dia.'",,2,$5.50,18,$5.25,,,2,K&K400,K&K160,,,,,,
'@ @ [SO][2/18] | Antique Silver/Turquoise Arrow Hook Bangle Bracelet',82881A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'2 1/4"" Diameter, 1/2"" W'",,2,$5.99,18,$5.70,,,2,K&K400,K&K160,,,,,,
'@ @ [3/18] | Gold/Crystal Curved Bar Necklace',82882A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'17"" L + 1 1/2"" Extender'",,3,$4.99,18,$4.75,,,3,K&K400,K&K160,,,,,,
'[3/18] | Silver/Crystal Curved Bar necklace',82882A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'17"" L + 1 1/2"" Extender'",,3,$4.99,18,$4.75,,,3,K&K400,K&K160,,,,,,
'[3/18] | Gold/Crystal Arrow Necklace',82883A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.49,,,"'18""L + 1 1/2""Extender, Pendant 1 1/4"" L'",,3,$4.99,18,$4.75,,,3,K&K400,K&K160,,,,,,
'[3/18] | Silver/Crystal Arrow Necklace',82883A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'18""L + 1 1/2"" Extender, Pendant 1 1/4""L'",,3,$4.99,18,$4.75,,,3,K&K400,K&K160,,,,,,
'[3/18] | Antique Silver Double Giraffee Pendant Necklace',82884A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.49,,,"'25""L + 2"" Extender, Pendant 1 1/2""L'",,3,$6.99,18,$6.65,,,3,K&K400,K&K160,,,,,,
'[2/12] | Rose Gold Giraffe Pendant Necklace',82884A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'25.5""L w/2"" extender PENDANT 1.5""L x 1""W'",,2,$6.99,12,$6.65,,,2,K&K400,K&K160,,,,,,
'[3/18] | Silver Crystal On Point Necklace',82885A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'17 1/2"" L + 2"" Extender, 3/4"" Drop'",,3,$6.99,18,$6.65,,,3,K&K400,K&K160,,,,,,
'@ @ [2/12] | Antique Silver Owl Pendant Necklace Set',82886A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'17"" L + 2 1/4"" Extender, Pendant-1""Drop, Earrings-3/4"" L'",,2,$8.99,12,$8.55,,,2,K&K400,K&K160,,,,,,
'[2/6] | Antique Silver/Turquoise Hinged Cuff Bracelet',82887A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2 1/4"" Diameter, 1 3/4"" W Focal'",,2,$10.99,6,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/6] | Worn Silver/Turquoise Tassel Pendant Necklace Set',82888A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'26"" L + 3"" Extender; 4 1/4"" L, Earrings-1/4"" Diameter'",,2,$10.99,6,$10.45,,,2,K&K400,K&K160,,,,,,
'[3/18] | Black/White Peek A Boo Earrings',82891A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.25,,,"'3/4"" x 3/4""'",,3,$4.50,18,$4.30,,,3,K&K400,K&K160,,,,,,
'@ @ [3/12] | Pearl/Gold Dual Earrings',82893A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'1 1/4""L x 1/2"" W'",,3,$5.99,12,$5.70,,,3,K&K400,K&K160,,,,,,
'[SO][2/12] | Green/Blue/Purple Gem Tone Bracelet w/Lobster Clasp w/Antique Gold',82894A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'7 1/2"" L w/2"" Extender,    1 1/4"" W'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/6] | Green/Blue/Purple Gem Tone Necklace Set w/Antique Gold Trim',82894B,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'16 1/2"" L + 3"" Extender,   1 1/4"" W,  Earrings-3/8"" Diameter'",,2,$14.99,6,$14.25,,,2,K&K400,K&K160,,,,,,
'[3/18] | Silver Crystal Heart Key Open Bangle Cuff Bracelet',82895A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2 3/8""Diameter, Key-1"" x 3/8""'",,3,$3.99,18,$3.80,,,3,K&K400,K&K160,,,,,,
'[SO][3/18] | Silver Crystal Flower Bangle Bracelet w/Hook Closure',82896A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'2 1/4"" Diameter, Flower 1/2"" Diameter'",,3,$3.99,18,$3.80,,,3,K&K400,K&K160,,,,,,
'[3/18] | Silver Crystal Bangle Bracelet w/Hook Closure',82897A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2 1/4"" Diameter, Focal 5/8"" Diameter'",,3,$3.99,18,$3.80,,,3,K&K400,K&K160,,,,,,
'[2/12] | Antique Gold Art Deco Bracelet w/Clear/Black Diamond Crystals Lobst',82899A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.99,,,"'5 1/2""L + 3"" Extender, 1 3/4"" W'",,2,$7.99,12,$7.60,,,2,K&K400,K&K160,,,,,,
'[2/6] | Antique Gold Art Deco Necklace Set w/Clear + Black Diamond Crystals',82899B,JWL030,20171123,In stock & shipping checked (Nov 22nd),$8.75,,,"'17 1/2"" L + 3"" Extender w/1 1/2"" Drop,  Earrings-1/2""L x 5/8'",,2,$17.50,6,$16.65,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Antique Gold 20 Piece Bangle Bracelet Set',82901A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2 5/8"" Diameter, each bangle 1/4"" W'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Antique Silver 20 Piece Bangle Bracelet Set',82901A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2 5/8"" Diameter, each bangle 1/4"" W'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'@ @ [SO][3/18] | Antique Gold Filigree Medallion Pendant Necklace',82902A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'24""L + 3"" Ext., Pendant 2 1/4"" L'",,3,$4.99,18,$4.75,,,3,K&K400,K&K160,,,,,,
'[3/18] | Silver/Pearl Chain w/Gold/Silver Double Cross Pendant Necklace',82903A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'16"" L, Pendant- 1 1/2"" L'",,3,$5.99,18,$5.70,,,3,K&K400,K&K160,,,,,,
'[3/18] | Antique Gold & Black Diamond Crystal Ruffle Bow Pendant Necklace',82904A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.99,,,"'28""L + 2"" Extender, Pendant 2 1/2"" L'",,3,$5.99,18,$5.70,,,3,K&K400,K&K160,,,,,,
'[3/18] | Antique Gold w/Victorian Bow/Heart Pendant Necklace',82905A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'16 1/2""L + 2 1/2"" Extender,  Pendant 2"" L'",,3,$5.99,18,$5.70,,,3,K&K400,K&K160,,,,,,
'[2/12] | Antique Bronze and Black Crystal Necklace Set',82906A-BK,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.99,,,"'18"" L + 3"" Extender, Pendant 4"" L,     Earrings-3/8"" Diamete'",,2,$7.99,12,$7.60,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Bronze and Fuchsia Crystal Necklace Set',82906A-FU,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.99,,,"'18"" L + 3"" Extender, Pendant 4"" L,     Earrings-3/8"" Diamete'",,2,$7.99,12,$7.60,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Gold with Clear Crystal & Opal Green Crystal Pendant Neckla',82907A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'21"" L, 2 3/4"" Drop, Earring 1/2"" Diameter'",,2,$8.99,12,$8.55,,,2,K&K400,K&K160,,,,,,
'[2/6] | Antique Gold/Pink Crystal Bib Necklace Set',82908A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'35"" L + 3"" Ext., 2"" Drop, Earrings- 1 1/2"" L x 3/8"" W'",,2,$12.99,6,$12.35,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Gold/Crystal Vintage Necklace Set',82911A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,"'17"" L + 2 3/4 Extender, 2 1/4"" Drop,  Earrings-1"" L'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'@ @ [2/6] | Gunmetal Graduated 5 Chain Crystal/Pearl Necklace Set',82912A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'33"" L + 2"" Extender, Earrings- 1 1/4"" L x 1/2""W'",,2,$19.99,6,$19.00,,,2,K&K400,K&K160,,,,,,
'@ @ [2/6] | Gunmetal Chain with Crystal/Opal Tassel Pendant Necklace',82913A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'16 1/2"" L + 3"" Extender, 1 1/2"" Drop, Earrings-2""L x 3/4"" W'",,2,$19.99,6,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/6] | Tri-Tone Aztec Design Stretch Bracelet',82914A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2"" Diameter 1 "" W'",,2,$12.50,6,$11.90,,,2,K&K400,K&K160,,,,,,
